1.359	1.354	1.343	1.359	-0.002	-0.15	2941	398076	1.347	1.3377	1.35355	1.3439998	1.346633084	-0.002633284	-0.005496147	0.005725726
1.356	1.34	1.34	1.356	-0.014	-1.03	3273	439114	1.3442	1.342	1.35	1.343365445	1.34601994	-0.002654495	-0.004922526	0.004536063
1.359	1.331	1.326	1.359	-0.009	-0.67	1539	205689	1.3432	1.3401	1.34645	1.341413601	1.344656574	-0.003242973	-0.004584118	0.002682291
1.343	1.371	1.33	1.375	0.04	3.01	4270	579397	1.3504	1.3453	1.34375	1.346065108	1.347008509	-0.000943401	-0.003851651	0.0058165
1.377	1.369	1.367	1.378	-0.002	-0.15	2813	386332	1.353	1.35	1.3423	1.349658764	1.348942497	0.000716267	-0.002933733	0.007299999
1.378	1.369	1.369	1.378	0	0	1144	156892	1.356	1.3515	1.34095	1.352680739	1.350682277	0.001998462	-0.001943553	0.007884031
1.355	1.357	1.355	1.38	-0.012	-0.88	1124	152972	1.3594	1.3518	1.34015	1.353353988	1.35122342	0.002130568	-0.001126259	0.006513653
1.353	1.36	1.351	1.374	0.003	0.22	1702	231087	1.3652	1.3542	1.3394	1.354387817	1.35196657	0.002421247	-0.000415038	0.00567257
1.366	1.359	1.351	1.369	-0.001	-0.07	1032	140250	1.3628	1.3566	1.34275	1.355104046	1.352555873	0.002548173	0.000178753	0.00473884
1.359	1.351	1.337	1.359	-0.008	-0.59	804	108606	1.3592	1.3561	1.345	1.354467645	1.352426766	0.002040879	0.000551755	0.002978247
1.357	1.336	1.336	1.357	-0.015	-1.11	1221	164503	1.3526	1.3543	1.346	1.351607419	1.351075704	0.000531716	0.000547742	-3.21E-05
1.325	1.304	1.299	1.35	-0.032	-2.4	4126	542638	1.342	1.3507	1.34635	1.344241692	1.347235229	-0.002993537	-0.000161216	-0.005664643
1.304	1.315	1.304	1.333	0.011	0.84	1845	242488	1.333	1.3491	1.3446	1.339721415	1.344625047	-0.004903632	-0.001110451	-0.007586361
1.315	1.362	1.315	1.362	0.047	3.57	3417	460876	1.3336	1.3482	1.34675	1.343162775	1.346022309	-0.002859534	-0.001460489	-0.002798089
1.362	1.345	1.34	1.362	-0.017	-1.25	1510	203012	1.3324	1.3458	1.3479	1.343446393	1.345940615	-0.002494222	-0.001667341	-0.001653762
1.337	1.342	1.336	1.356	-0.003	-0.22	388	51879	1.3336	1.3431	1.3473	1.343223227	1.345627543	-0.002404316	-0.001814796	-0.001179041
1.334	1.329	1.316	1.335	-0.013	-0.97	1354	179872	1.3386	1.3403	1.34605	1.341029676	1.344313587	-0.003283911	-0.002108714	-0.002350394
1.32	1.31	1.308	1.329	-0.019	-1.43	2208	290946	1.3376	1.3353	1.34475	1.336245985	1.341615383	-0.005369397	-0.00276102	-0.005216755
1.311	1.308	1.305	1.319	-0.002	-0.15	1007	131973	1.3268	1.3302	1.3434	1.33189283	1.338984078	-0.007091248	-0.003627246	-0.006928005
1.314	1.33	1.314	1.388	0.022	1.68	1449	194134	1.3238	1.3281	1.3421	1.331601194	1.338283777	-0.006682583	-0.004238415	-0.004888336
1.33	1.358	1.33	1.36	0.028	2.11	4172	563533	1.327	1.3303	1.3423	1.335667644	1.339814708	-0.004147064	-0.004220142	0.000146157
1.371	1.375	1.365	1.375	0.017	1.25	4562	625571	1.3362	1.3374	1.34405	1.341725199	1.342537056	-0.000811857	-0.003538413	0.005453111
1.365	1.366	1.361	1.37	-0.009	-0.65	1928	263242	1.3474	1.3425	1.3458	1.345463137	1.344346458	0.001116679	-0.002607315	0.007447988
1.364	1.354	1.338	1.364	-0.012	-0.88	2727	367048	1.3566	1.3417	1.34495	1.346777498	1.345088656	0.001688843	-0.001748025	0.006873735
1.347	1.363	1.347	1.363	0.009	0.66	1349	182596	1.3632	1.3435	1.34465	1.349274872	1.346461884	0.002812988	-0.000835773	0.007297522
1.351	1.381	1.351	1.383	0.018	1.32	4367	600814	1.3678	1.3474	1.34525	1.354158315	1.349103004	0.005055312	0.000342495	0.009425632
1.373	1.373	1.365	1.375	-0.008	-0.58	794	108806	1.3674	1.3518	1.34605	1.35705837	1.350926033	0.006132337	0.001500504	0.009263666
1.381	1.406	1.38	1.407	0.033	2.4	11853	1652997	1.3754	1.3614	1.34835	1.364590783	1.355118181	0.009472602	0.003094968	0.012755267
1.407	1.41	1.406	1.417	0.004	0.28	8151	1151590	1.3866	1.3716	1.3509	1.371579117	1.35928718	0.012291937	0.004934403	0.014715068
1.41	1.407	1.406	1.417	-0.003	-0.21	8155	1151429	1.3954	1.3793	1.3537	1.377030002	1.362904765	0.014125238	0.006772603	0.01470527
1.41	1.399	1.396	1.417	-0.008	-0.57	3033	426516	1.399	1.3834	1.35685	1.380410799	1.365636735	0.014774064	0.008372918	0.012802293
1.391	1.409	1.391	1.409	0.01	0.71	4361	609575	1.4062	1.3868	1.3621	1.384810015	1.368913519	0.015896497	0.009877651	0.012037692
1.402	1.368	1.365	1.406	-0.041	-2.91	5936	816616	1.3986	1.387	1.36475	1.382223422	1.368844591	0.013378832	0.010577893	0.005601877
1.358	1.37	1.358	1.379	0.002	0.15	3005	411010	1.3906	1.3886	1.36515	1.380342627	1.36893165	0.011410977	0.010744511	0.001332932
1.376	1.389	1.376	1.395	0.019	1.39	6767	939084	1.387	1.3912	1.36735	1.381674692	1.370441862	0.01123283	0.010842176	0.000781308
1.395	1.385	1.383	1.402	-0.004	-0.29	4663	650665	1.3842	1.3916	1.3695	1.38218633	1.371536121	0.010650209	0.010803782	-0.000307147
