时间,开盘,收盘,最低,最高,涨跌,涨幅,成交量,成交额/万元,MA5,MA10,MA20,sema,lema,diff,dea,macd
2019-05-22,1.359,1.354,1.343,1.359,-0.002,-0.15,2941,398076.0,1.3470000000000009,1.3376999999999997,1.3535499999999998,1.3439997999062827,1.3466330842004033,-0.0026332842941205747,-0.005496147162772426,0.005725725737303702
2019-05-23,1.356,1.340,1.340,1.356,-0.014,-1.03,3273,439114.0,1.344200000000001,1.3419999999999996,1.3499999999999999,1.3433654454451016,1.3460199400130874,-0.0026544945679858323,-0.004922525921700458,0.004536062707429251
2019-05-24,1.359,1.331,1.326,1.359,-0.009,-0.67,1539,205689.0,1.3432000000000008,1.3400999999999996,1.3464499999999997,1.3414136005070771,1.3446565735444573,-0.0032429730373801924,-0.004584118337597787,0.00268229060043519
2019-05-27,1.343,1.371,1.330,1.375,0.040,3.01,4270,579397.0,1.350400000000001,1.3452999999999995,1.3437499999999996,1.3460651078261499,1.3470085090275208,-0.0009434012013709303,-0.003851651187452857,0.005816499972163853
2019-05-28,1.377,1.369,1.367,1.378,-0.002,-0.15,2813,386332.0,1.353000000000001,1.3499999999999996,1.3422999999999996,1.3496587637185524,1.3489424969767698,0.0007162667417826007,-0.002933732854837813,0.007299999193240828
2019-05-29,1.378,1.369,1.369,1.378,0.000,0.00,1144,156892.0,1.3560000000000012,1.3514999999999997,1.3409499999999996,1.3526807392017637,1.350682276971258,0.0019984622305055932,-0.001943553044209351,0.007884030549429889
2019-05-30,1.355,1.357,1.355,1.380,-0.012,-0.88,1124,152972.0,1.3594000000000013,1.3517999999999997,1.3401499999999995,1.353353987843158,1.351223419938514,0.002130567904643943,-0.0011262587339539627,0.006513653277195811
2019-05-31,1.353,1.360,1.351,1.374,0.003,0.22,1702,231087.0,1.365200000000001,1.3541999999999996,1.3393999999999995,1.3543878165432013,1.3519665695105845,0.0024212470326168134,-0.0004150379543118961,0.005672569973857419
2019-06-03,1.366,1.359,1.351,1.369,-0.001,-0.07,1032,140250.0,1.3628000000000011,1.3565999999999996,1.3427499999999994,1.355104045668656,1.3525558726852385,0.002548172983417585,0.0001787527915766445,0.004738840383681881
2019-06-04,1.359,1.351,1.337,1.359,-0.008,-0.59,804,108606.0,1.3592000000000013,1.3560999999999994,1.3449999999999993,1.3544676449084019,1.3524267661752822,0.0020408787331196443,0.0005517551731138114,0.002978247120011666
2019-06-05,1.357,1.336,1.336,1.357,-0.015,-1.11,1221,164503.0,1.3526000000000014,1.3542999999999996,1.3459999999999994,1.3516074194143688,1.3510757036954646,0.0005317157189042021,0.0005477423145936554,-3.205319137890663e-05
2019-06-06,1.325,1.304,1.299,1.350,-0.032,-2.40,4126,542638.0,1.3420000000000014,1.3506999999999996,1.3463499999999993,1.3442416917845792,1.3472352292493357,-0.0029935374647565016,-0.00016121575934509853,-0.005664643410822806
2019-06-10,1.304,1.315,1.304,1.333,0.011,0.84,1845,242488.0,1.3330000000000015,1.3490999999999995,1.3445999999999994,1.3397214151882495,1.344625046830439,-0.004903631642189543,-0.0011104509975511556,-0.007586361289276775
2019-06-11,1.315,1.362,1.315,1.362,0.047,3.57,3417,460876.0,1.3336000000000017,1.3481999999999996,1.3467499999999992,1.3431627751648414,1.3460223089097674,-0.0028595337449259794,-0.0014604894102280867,-0.0027980886693957856
2019-06-12,1.362,1.345,1.340,1.362,-0.017,-1.25,1510,203012.0,1.3324000000000018,1.3457999999999997,1.3478999999999992,1.3434463934430514,1.3459406149646282,-0.002494221521576856,-0.0016673407185719125,-0.001653761606009887
2019-06-13,1.337,1.342,1.336,1.356,-0.003,-0.22,388,51879.0,1.3336000000000017,1.3430999999999997,1.3472999999999993,1.3432232266771174,1.3456275430865339,-0.002404316409416518,-0.001814795671575932,-0.0011790414756811724
2019-06-14,1.334,1.329,1.316,1.335,-0.013,-0.97,1354,179872.0,1.3386000000000016,1.3402999999999998,1.3460499999999993,1.341029675996502,1.3443135873037382,-0.0032839113072362647,-0.0021087141807174786,-0.0023503942530375722
2019-06-17,1.320,1.310,1.308,1.329,-0.019,-1.43,2208,290946.0,1.3376000000000015,1.3353,1.3447499999999992,1.3362459853134514,1.3416153827657773,-0.005369397452325897,-0.0027610201833595783,-0.005216754537932637
2019-06-18,1.311,1.308,1.305,1.319,-0.002,-0.15,1007,131973.0,1.3268000000000015,1.3302,1.3433999999999993,1.331892830448341,1.3389840784176998,-0.007091247969358783,-0.003627245648549887,-0.006928004641617792
2019-06-19,1.314,1.330,1.314,1.388,0.022,1.68,1449,194134.0,1.3238000000000016,1.3280999999999998,1.3420999999999992,1.3316011938811305,1.3382837767447335,-0.006682582863603015,-0.0042384146394271165,-0.004888336448351797
2019-06-20,1.330,1.358,1.330,1.360,0.028,2.11,4172,563533.0,1.3270000000000013,1.3302999999999998,1.3422999999999994,1.3356676441918567,1.3398147079172966,-0.004147063725439937,-0.004220142027782985,0.00014615660468609605
2019-06-21,1.371,1.375,1.365,1.375,0.017,1.25,4562,625571.0,1.3362000000000014,1.3374,1.3440499999999993,1.341725198589148,1.3425370556714715,-0.0008118570823234528,-0.00353841254477793,0.005453110924908955
2019-06-24,1.365,1.366,1.361,1.370,-0.009,-0.65,1928,263242.0,1.3474000000000015,1.3424999999999998,1.3457999999999992,1.3454631369664234,1.3443464579927589,0.00111667897366452,-0.0026073150320730758,0.0074479880114751915
2019-06-25,1.364,1.354,1.338,1.364,-0.012,-0.88,2727,367048.0,1.3566000000000016,1.3417,1.3449499999999994,1.3467774982930147,1.3450886557055641,0.0016888425874506119,-0.0017480250279210414,0.006873735230743307
2019-06-26,1.347,1.363,1.347,1.363,0.009,0.66,1349,182596.0,1.3632000000000015,1.3435,1.3446499999999992,1.3492748719703782,1.3464618839036822,0.002812988066696054,-0.0008357727412588488,0.007297521615909805
2019-06-27,1.351,1.381,1.351,1.383,0.018,1.32,4367,600814.0,1.3678000000000015,1.3474,1.3452499999999994,1.354158315174252,1.349103003552539,0.00505531162171291,0.0003424954521533872,0.009425632339119045
2019-06-28,1.373,1.373,1.365,1.375,-0.008,-0.58,794,108806.0,1.3674000000000013,1.3517999999999997,1.3460499999999995,1.3570583696698615,1.3509260325802752,0.0061323370895862706,0.0015005041303531984,0.009263665918466144
2019-07-01,1.381,1.406,1.380,1.407,0.033,2.40,11853,1652997.0,1.3754000000000015,1.3613999999999997,1.3483499999999995,1.3645907825084311,1.3551181809910806,0.00947260151735052,0.0030949680549198,0.012755266924861442
2019-07-02,1.407,1.410,1.406,1.417,0.004,0.28,8151,1151590.0,1.3866000000000016,1.3715999999999997,1.3508999999999993,1.3715791171013894,1.359287180093991,0.01229193700739839,0.004934402866182553,0.014715068282431675
2019-07-03,1.410,1.407,1.406,1.417,-0.003,-0.21,8155,1151429.0,1.3954000000000015,1.3792999999999997,1.3536999999999995,1.3770300024444113,1.3629047649109067,0.014125237533504587,0.006772602594225967,0.014705269878557239
2019-07-04,1.410,1.399,1.396,1.417,-0.008,-0.57,3033,426516.0,1.3990000000000016,1.3833999999999995,1.3568499999999994,1.3804107991185848,1.365636734987016,0.014774064131568787,0.008372917742155555,0.012802292778826465
2019-07-05,1.391,1.409,1.391,1.409,0.010,0.71,4361,609575.0,1.4062000000000017,1.3867999999999996,1.3620999999999994,1.384810015304946,1.3689135185540504,0.01589649675089566,0.009877650724917,0.012037692051957323
2019-07-08,1.402,1.368,1.365,1.406,-0.041,-2.91,5936,816616.0,1.3986000000000016,1.3869999999999998,1.3647499999999995,1.382223422494491,1.3688445905422504,0.013378831952240544,0.010577893366667755,0.0056018771711455785
2019-07-09,1.358,1.370,1.358,1.379,0.002,0.15,3005,411010.0,1.3906000000000016,1.3885999999999998,1.3651499999999994,1.3803426273258688,1.3689316499501591,0.011410977375709619,0.010744511386038666,0.0013329319793419052
2019-07-10,1.376,1.389,1.376,1.395,0.019,1.39,6767,939084.0,1.3870000000000016,1.3912,1.3673499999999996,1.3816746918006084,1.3704418620488756,0.011232829751732787,0.010842175630123302,0.0007813082432189707
2019-07-11,1.395,1.385,1.383,1.402,-0.004,-0.29,4663,650665.0,1.3842000000000014,1.3916,1.3694999999999997,1.3821863299984658,1.3715361212913466,0.010650208707119191,0.010803782065963257,-0.00030714671768813234
2019-07-12,1.386,1.390,1.383,1.397,0.005,0.36,6480,901862.0,1.3804000000000014,1.3933,1.3725499999999997,1.383388537101632,1.3729224426107827,0.010466094490849231,0.010736244298251662,-0.0005402996148048608
2019-07-15,1.390,1.426,1.380,1.428,0.036,2.59,10823,1529224.0,1.3920000000000012,1.3953,1.3783499999999997,1.38994462679557,1.3769036425705472,0.013040984225022756,0.011197193663298941,0.0036875811234476294
2019-07-16,1.424,1.416,1.412,1.425,-0.010,-0.70,5038,713886.0,1.4012000000000013,1.3959,1.3837499999999996,1.3939533941046665,1.3798334177018536,0.014119976402812817,0.011781751610939917,0.004676449583745801
2019-07-17,1.419,1.416,1.416,1.426,0.000,0.00,4977,706747.0,1.4066000000000012,1.3968,1.3880499999999998,1.3973453574393204,1.3825413059240996,0.014804051515220795,0.012386212749713592,0.004835677531014406
2019-07-18,1.410,1.392,1.390,1.410,-0.024,-1.69,3775,526784.0,1.4080000000000013,1.3961,1.3897499999999998,1.3965229582773728,1.3832489384049473,0.013274019872425491,0.01256377444636848,0.0014204908521140217
2019-07-19,1.394,1.400,1.393,1.407,0.008,0.57,1983,277311.0,1.4100000000000015,1.3951999999999998,1.3909999999999996,1.3970579078512402,1.384501208931591,0.012556698919649278,0.012562359339289727,-1.1320839280896944e-05
2019-07-22,1.390,1.378,1.375,1.403,-0.022,-1.57,1988,274633.0,1.4004000000000012,1.3961999999999999,1.3915999999999997,1.3941258289098317,1.3840155256419326,0.010110303267899079,0.012071947644017205,-0.003923288752236253
2019-07-23,1.397,1.395,1.376,1.397,0.017,1.23,1476,205565.0,1.396200000000001,1.3986999999999998,1.3936499999999996,1.394260320383979,1.3848356197596814,0.009424700624297566,0.01154249782464698,-0.004235594400698827
2019-07-24,1.396,1.418,1.390,1.425,0.023,1.65,5285,748017.0,1.3966000000000007,1.4015999999999997,1.3963999999999996,1.3979126618343474,1.3873102036405958,0.010602458193751607,0.011354489780453343,-0.001504063173403472
2019-07-25,1.433,1.450,1.429,1.452,0.032,2.26,18454,2668886.0,1.4082000000000008,1.4080999999999997,1.3998499999999996,1.405926252657261,1.39198531527672,0.013940937380540808,0.011871779560237283,0.00413831564060705
2019-07-26,1.441,1.448,1.437,1.449,-0.002,-0.14,2199,316600.0,1.4178000000000008,1.4138999999999997,1.4035999999999995,1.412399242244487,1.3961605355123545,0.01623870673213257,0.012745165345485551,0.006987082773294035
2019-07-29,1.442,1.442,1.434,1.452,-0.006,-0.41,2271,326610.0,1.4306000000000008,1.4154999999999998,1.4053999999999998,1.4169532677097831,1.3995757313505197,0.017377536359263424,0.01367163984599855,0.007411793026529747
2019-07-30,1.443,1.459,1.443,1.469,0.017,1.18,5590,816748.0,1.443400000000001,1.4197999999999997,1.4078499999999996,1.4234220711556895,1.4040011413197966,0.01942092983589294,0.014821498139617594,0.009198863392550695
2019-07-31,1.454,1.459,1.453,1.463,0.000,0.00,4711,686897.0,1.4516000000000007,1.4240999999999997,1.4104499999999995,1.4288956526555034,1.408095357861236,0.02080029479426737,0.01601725771650103,0.009566074155532685
2019-08-01,1.450,1.450,1.440,1.456,-0.009,-0.62,5457,788896.0,1.4516000000000007,1.4298999999999995,1.4129999999999996,1.4321425024205308,1.4112136699316147,0.020928832488916083,0.01699957283262444,0.007858519312583287
